Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Weighted Output,State
171.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-179523.77999112368,-36689.29328790824,5242.601661992271,5204.000199317957,0.5410037837970954,R
171.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-179523.77999112368,-36689.29328790824,5242.601661992271,5204.000199317957,0.5410037837970954,R
35.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-178932.9339781921,-36796.24638512688,5194.9700945580125,5156.480390605973,0.5410039401198056,R
35.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-178932.9339781921,-36796.24638512688,5194.9700945580125,5156.480390605973,0.5410039401198056,R
35.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-178932.9339781921,-36796.24638512688,5194.9700945580125,5156.480390605973,0.5410039401198056,R
35.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-178932.9339781921,-36796.24638512688,5194.9700945580125,5156.480390605973,0.5410039401198056,R
156.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.0,R
156.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.0,R
156.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.0,R
156.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.0,R
156.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.0,R
20.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.0,R
20.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.0,R
20.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.0,R
20.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.0,R
140.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.0,R
140.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.0,R
