Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Weighted Output
244.0,-164240.88647852975,-156091.52985710264,-175586.699019277,-165713.39705150094,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.06620959779130292
244.0,-164240.88647852975,-156091.52985710264,-175586.699019277,-165713.39705150094,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.06620959779130292
108.0,-163953.21952738997,-155862.91621481374,-175351.60337109608,-165438.93998133423,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.06698585788333529
108.0,-163953.21952738997,-155862.91621481374,-175351.60337109608,-165438.93998133423,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.06698585788333529
108.0,-163953.21952738997,-155862.91621481374,-175351.60337109608,-165438.93998133423,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.06698585788333529
108.0,-163953.21952738997,-155862.91621481374,-175351.60337109608,-165438.93998133423,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.06698585788333529
228.0,-163297.39699332678,-155155.9752411813,-174835.99333000105,-164903.34748069616,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.06883000092526351
228.0,-163297.39699332678,-155155.9752411813,-174835.99333000105,-164903.34748069616,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.06883000092526351
228.0,-163297.39699332678,-155155.9752411813,-174835.99333000105,-164903.34748069616,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.06883000092526351
228.0,-163297.39699332678,-155155.9752411813,-174835.99333000105,-164903.34748069616,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.06883000092526351
228.0,-163297.39699332678,-155155.9752411813,-174835.99333000105,-164903.34748069616,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.06883000092526351
93.0,-6225.452569181034,-34097.519111337555,-15765.490027128462,-6311.707951034064,4213.504995525479,-179369.55295438206,-179814.82205567625,0.49338705690034795
93.0,-6225.452569181034,-34097.519111337555,-15765.490027128462,-6311.707951034064,4213.504995525479,-179369.55295438206,-179814.82205567625,0.49338705690034795
93.0,-6225.452569181034,-34097.519111337555,-15765.490027128462,-6311.707951034064,4213.504995525479,-179369.55295438206,-179814.82205567625,0.49338705690034795
93.0,-6225.452569181034,-34097.519111337555,-15765.490027128462,-6311.707951034064,4213.504995525479,-179369.55295438206,-179814.82205567625,0.49338705690034795
213.0,-6248.51956945891,-31824.704328144115,-14747.613936378233,-6251.6711654271085,4184.648893433678,-179295.9263081463,-179794.81724438875,0.49829488856418547
213.0,-6248.51956945891,-31824.704328144115,-14747.613936378233,-6251.6711654271085,4184.648893433678,-179295.9263081463,-179794.81724438875,0.49829488856418547
213.0,-6248.51956945891,-31824.704328144115,-14747.613936378233,-6251.6711654271085,4184.648893433678,-179295.9263081463,-179794.81724438875,0.49829488856418547
213.0,-6248.51956945891,-31824.704328144115,-14747.613936378233,-6251.6711654271085,4184.648893433678,-179295.9263081463,-179794.81724438875,0.49829488856418547
77.0,-6298.296904360879,-27586.098323595324,-13769.166322847168,-6223.75383660243,4169.270893248427,-179209.4921123376,-179816.05140162128,0.5059795912281281
77.0,-6298.296904360879,-27586.098323595324,-13769.166322847168,-6223.75383660243,4169.270893248427,-179209.4921123376,-179816.05140162128,0.5059795912281281
77.0,-6298.296904360879,-27586.098323595324,-13769.166322847168,-6223.75383660243,4169.270893248427,-179209.4921123376,-179816.05140162128,0.5059795912281281
77.0,-6298.296904360879,-27586.098323595324,-13769.166322847168,-6223.75383660243,4169.270893248427,-179209.4921123376,-179816.05140162128,0.5059795912281281
