Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Weighted Output
121.0,-149538.6912868847,-148418.8241861849,-187500.02235174447,-187500.02235174447,-187500.02235174447,-141757.3114344253,-187500.02235174447,0.12222587180200518
242.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-158654.6043937927,-187500.02235174447,-187500.02235174447,0.0
242.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-158654.6043937927,-187500.02235174447,-187500.02235174447,0.0
242.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-158654.6043937927,-187500.02235174447,-187500.02235174447,0.0
242.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-158654.6043937927,-187500.02235174447,-187500.02235174447,0.0
242.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-158654.6043937927,-187500.02235174447,-187500.02235174447,0.0
106.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-158595.59578843068,-187500.02235174447,-187500.02235174447,0.0
106.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-158595.59578843068,-187500.02235174447,-187500.02235174447,0.0
106.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-158595.59578843068,-187500.02235174447,-187500.02235174447,0.0
106.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-158595.59578843068,-187500.02235174447,-187500.02235174447,0.0
226.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-158479.83610389664,-187500.02235174447,-187500.02235174447,0.0
226.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-158479.83610389664,-187500.02235174447,-187500.02235174447,0.0
226.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-158479.83610389664,-187500.02235174447,-187500.02235174447,0.0
226.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-158479.83610389664,-187500.02235174447,-187500.02235174447,0.0
226.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-158479.83610389664,-187500.02235174447,-187500.02235174447,0.0
90.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-158492.35308079162,-187500.02235174447,-187500.02235174447,0.0
90.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-158492.35308079162,-187500.02235174447,-187500.02235174447,0.0
90.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-158492.35308079162,-187500.02235174447,-187500.02235174447,0.0
