Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Weighted Output
54.0,-185507.6772579762,-185485.034940843,-185631.84119842545,-185552.26898816455,-185593.7091223847,-185617.80430290752,-185620.0618290975,0.0002694091877785743
54.0,-185507.6772579762,-185485.034940843,-185631.84119842545,-185552.26898816455,-185593.7091223847,-185617.80430290752,-185620.0618290975,0.0002694091877785743
54.0,-185507.6772579762,-185485.034940843,-185631.84119842545,-185552.26898816455,-185593.7091223847,-185617.80430290752,-185620.0618290975,0.0002694091877785743
54.0,-185507.6772579762,-185485.034940843,-185631.84119842545,-185552.26898816455,-185593.7091223847,-185617.80430290752,-185620.0618290975,0.0002694091877785743
54.0,-185507.6772579762,-185485.034940843,-185631.84119842545,-185552.26898816455,-185593.7091223847,-185617.80430290752,-185620.0618290975,0.0002694091877785743
174.0,-185364.91666614017,-185343.99543333,-185490.10878683435,-185409.6201550508,-185450.03210902598,-185473.4790889596,-185473.97082733762,0.00027903978148979353
174.0,-185364.91666614017,-185343.99543333,-185490.10878683435,-185409.6201550508,-185450.03210902598,-185473.4790889596,-185473.97082733762,0.00027903978148979353
174.0,-185364.91666614017,-185343.99543333,-185490.10878683435,-185409.6201550508,-185450.03210902598,-185473.4790889596,-185473.97082733762,0.00027903978148979353
174.0,-185364.91666614017,-185343.99543333,-185490.10878683435,-185409.6201550508,-185450.03210902598,-185473.4790889596,-185473.97082733762,0.00027903978148979353
38.0,-184582.49385148214,-184564.14306928433,-184714.03386760163,-184630.3712881054,-184671.43144266983,-184694.1408150364,-184689.20107951178,0.00030529937853410194
38.0,-184582.49385148214,-184564.14306928433,-184714.03386760163,-184630.3712881054,-184671.43144266983,-184694.1408150364,-184689.20107951178,0.00030529937853410194
38.0,-184582.49385148214,-184564.14306928433,-184714.03386760163,-184630.3712881054,-184671.43144266983,-184694.1408150364,-184689.20107951178,0.00030529937853410194
38.0,-184582.49385148214,-184564.14306928433,-184714.03386760163,-184630.3712881054,-184671.43144266983,-184694.1408150364,-184689.20107951178,0.00030529937853410194
159.0,-186523.40758125874,187500.0,-186726.00379300164,-186691.805623985,-186710.7822550276,-186731.41291515983,-186805.73246547373,0.261007316661755
159.0,-186523.40758125874,187500.0,-186726.00379300164,-186691.805623985,-186710.7822550276,-186731.41291515983,-186805.73246547373,0.261007316661755
159.0,-186523.40758125874,187500.0,-186726.00379300164,-186691.805623985,-186710.7822550276,-186731.41291515983,-186805.73246547373,0.261007316661755
159.0,-186523.40758125874,187500.0,-186726.00379300164,-186691.805623985,-186710.7822550276,-186731.41291515983,-186805.73246547373,0.261007316661755
159.0,-186523.40758125874,187500.0,-186726.00379300164,-186691.805623985,-186710.7822550276,-186731.41291515983,-186805.73246547373,0.261007316661755
23.0,-186600.09641648488,187500.0,-186804.61487825096,-186769.94732260078,-186789.6392094659,-186810.31457308706,-186884.54471642314,0.2610075985786727
23.0,-186600.09641648488,187500.0,-186804.61487825096,-186769.94732260078,-186789.6392094659,-186810.31457308706,-186884.54471642314,0.2610075985786727
23.0,-186600.09641648488,187500.0,-186804.61487825096,-186769.94732260078,-186789.6392094659,-186810.31457308706,-186884.54471642314,0.2610075985786727
23.0,-186600.09641648488,187500.0,-186804.61487825096,-186769.94732260078,-186789.6392094659,-186810.31457308706,-186884.54471642314,0.2610075985786727
143.0,-186693.8619844749,187500.0,-186899.2074607858,-186864.606960369,-186884.4553094453,-186905.108321322,-186979.31611291363,0.26100778653696854
143.0,-186693.8619844749,187500.0,-186899.2074607858,-186864.606960369,-186884.4553094453,-186905.108321322,-186979.31611291363,0.26100778653696854
143.0,-186693.8619844749,187500.0,-186899.2074607858,-186864.606960369,-186884.4553094453,-186905.108321322,-186979.31611291363,0.26100778653696854
143.0,-186693.8619844749,187500.0,-186899.2074607858,-186864.606960369,-186884.4553094453,-186905.108321322,-186979.31611291363,0.26100778653696854
143.0,-186693.8619844749,187500.0,-186899.2074607858,-186864.606960369,-186884.4553094453,-186905.108321322,-186979.31611291363,0.26100778653696854
7.0,-186798.40109329237,187500.0,-187003.7912730922,-186969.6378075645,-186988.90501128495,-187009.51331967275,-187083.654056031,0.2610074992633908
7.0,-186798.40109329237,187500.0,-187003.7912730922,-186969.6378075645,-186988.90501128495,-187009.51331967275,-187083.654056031,0.2610074992633908
7.0,-186798.40109329237,187500.0,-187003.7912730922,-186969.6378075645,-186988.90501128495,-187009.51331967275,-187083.654056031,0.2610074992633908
7.0,-186798.40109329237,187500.0,-187003.7912730922,-186969.6378075645,-186988.90501128495,-187009.51331967275,-187083.654056031,0.2610074992633908
128.0,-185266.8819149592,-185248.19585659457,-185403.29461136993,-185320.7496190965,-185356.26654103596,-185378.68534072465,-185376.76309070148,0.00032131589550195354
128.0,-185266.8819149592,-185248.19585659457,-185403.29461136993,-185320.7496190965,-185356.26654103596,-185378.68534072465,-185376.76309070148,0.00032131589550195354
128.0,-185266.8819149592,-185248.19585659457,-185403.29461136993,-185320.7496190965,-185356.26654103596,-185378.68534072465,-185376.76309070148,0.00032131589550195354
128.0,-185266.8819149592,-185248.19585659457,-185403.29461136993,-185320.7496190965,-185356.26654103596,-185378.68534072465,-185376.76309070148,0.00032131589550195354
138.0,-185297.10147346277,-185278.72833952052,-185433.7153355736,-185351.12563981125,-185386.7096169841,-185408.92725097266,-185407.273221883,0.0003212261236194754
248.0,-185578.71110185518,-185560.00269174608,-185715.4814261772,-185632.71291645922,-185668.2745418876,-185690.69334157626,-185690.40276889835,0.0003191111353594572
248.0,-185578.71110185518,-185560.00269174608,-185715.4814261772,-185632.71291645922,-185668.2745418876,-185690.69334157626,-185690.40276889835,0.0003191111353594572
248.0,-185578.71110185518,-185560.00269174608,-185715.4814261772,-185632.71291645922,-185668.2745418876,-185690.69334157626,-185690.40276889835,0.0003191111353594572
248.0,-185578.71110185518,-185560.00269174608,-185715.4814261772,-185632.71291645922,-185668.2745418876,-185690.69334157626,-185690.40276889835,0.0003191111353594572
112.0,-185769.55029601458,-185750.5960167165,-185906.38767556997,-185823.48505538524,-185859.09138430256,-185881.59959096904,-185881.91251539142,0.0003185136709204379
112.0,-185769.55029601458,-185750.5960167165,-185906.38767556997,-185823.48505538524,-185859.09138430256,-185881.59959096904,-185881.91251539142,0.0003185136709204379
112.0,-185769.55029601458,-185750.5960167165,-185906.38767556997,-185823.48505538524,-185859.09138430256,-185881.59959096904,-185881.91251539142,0.0003185136709204379
112.0,-185769.55029601458,-185750.5960167165,-185906.38767556997,-185823.48505538524,-185859.09138430256,-185881.59959096904,-185881.91251539142,0.0003185136709204379
232.0,-185981.93657182893,-185963.0940512531,-186118.86335836214,-186036.34071783314,-186071.7235293059,-186094.0752737612,-186095.19286098395,0.00031666019707050224
232.0,-185981.93657182893,-185963.0940512531,-186118.86335836214,-186036.34071783314,-186071.7235293059,-186094.0752737612,-186095.19286098395,0.00031666019707050224
232.0,-185981.93657182893,-185963.0940512531,-186118.86335836214,-186036.34071783314,-186071.7235293059,-186094.0752737612,-186095.19286098395,0.00031666019707050224
232.0,-185981.93657182893,-185963.0940512531,-186118.86335836214,-186036.34071783314,-186071.7235293059,-186094.0752737612,-186095.19286098395,0.00031666019707050224
232.0,-185981.93657182893,-185963.0940512531,-186118.86335836214,-186036.34071783314,-186071.7235293059,-186094.0752737612,-186095.19286098395,0.00031666019707050224
97.0,-187190.428339294,187500.0,-187402.97107731953,-187368.39292864717,-187388.64360912368,-187409.05075181136,-187483.23619165854,0.2610084609193677
97.0,-187190.428339294,187500.0,-187402.97107731953,-187368.39292864717,-187388.64360912368,-187409.05075181136,-187483.23619165854,0.2610084609193677
97.0,-187190.428339294,187500.0,-187402.97107731953,-187368.39292864717,-187388.64360912368,-187409.05075181136,-187483.23619165854,0.2610084609193677
97.0,-187190.428339294,187500.0,-187402.97107731953,-187368.39292864717,-187388.64360912368,-187409.05075181136,-187483.23619165854,0.2610084609193677
217.0,-187316.7603989554,187500.0,-187500.02235174447,-187494.7026365641,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.26088845211639194
217.0,-187316.7603989554,187500.0,-187500.02235174447,-187494.7026365641,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.26088845211639194
217.0,-187316.7603989554,187500.0,-187500.02235174447,-187494.7026365641,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.26088845211639194
217.0,-187316.7603989554,187500.0,-187500.02235174447,-187494.7026365641,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.26088845211639194
81.0,-187482.69974979162,187500.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.2608713504773895
81.0,-187482.69974979162,187500.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.2608713504773895
81.0,-187482.69974979162,187500.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.2608713504773895
81.0,-187482.69974979162,187500.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.2608713504773895
81.0,-187482.69974979162,187500.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.2608713504773895
201.0,-187500.02235174447,187500.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.2608695652173913
201.0,-187500.02235174447,187500.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.2608695652173913
201.0,-187500.02235174447,187500.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.2608695652173913
201.0,-187500.02235174447,187500.0,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,0.2608695652173913
66.0,-186443.2095221531,-186422.78002772093,-186578.12465168533,-186501.54757518144,-186531.58831972937,-186555.527038041,-186554.85648570737,0.0003116258089621552
66.0,-186443.2095221531,-186422.78002772093,-186578.12465168533,-186501.54757518144,-186531.58831972937,-186555.527038041,-186554.85648570737,0.0003116258089621552
66.0,-186443.2095221531,-186422.78002772093,-186578.12465168533,-186501.54757518144,-186531.58831972937,-186555.527038041,-186554.85648570737,0.0003116258089621552
66.0,-186443.2095221531,-186422.78002772093,-186578.12465168533,-186501.54757518144,-186531.58831972937,-186555.527038041,-186554.85648570737,0.0003116258089621552
66.0,-186443.2095221531,-186422.78002772093,-186578.12465168533,-186501.54757518144,-186531.58831972937,-186555.527038041,-186554.85648570737,0.0003116258089621552
