Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Weighted Output
201.0,-187500.02235174447,-187500.02235174447,-171569.06236041337,-167505.0905352939,-163681.3776113245,-166231.91281937514,-56225.70141860264,0.25779518365458953
201.0,-187500.02235174447,-187500.02235174447,-171569.06236041337,-167505.0905352939,-163681.3776113245,-166231.91281937514,-56225.70141860264,0.25779518365458953
201.0,-187500.02235174447,-187500.02235174447,-171569.06236041337,-167505.0905352939,-163681.3776113245,-166231.91281937514,-56225.70141860264,0.25779518365458953
201.0,-187500.02235174447,-187500.02235174447,-171569.06236041337,-167505.0905352939,-163681.3776113245,-166231.91281937514,-56225.70141860264,0.25779518365458953
65.0,-187500.02235174447,-187500.02235174447,-171141.9428756169,-167049.9866664394,-163899.21771278593,-166362.13408257178,-56348.79247531801,0.2582557142227362
65.0,-187500.02235174447,-187500.02235174447,-171141.9428756169,-167049.9866664394,-163899.21771278593,-166362.13408257178,-56348.79247531801,0.2582557142227362
65.0,-187500.02235174447,-187500.02235174447,-171141.9428756169,-167049.9866664394,-163899.21771278593,-166362.13408257178,-56348.79247531801,0.2582557142227362
65.0,-187500.02235174447,-187500.02235174447,-171141.9428756169,-167049.9866664394,-163899.21771278593,-166362.13408257178,-56348.79247531801,0.2582557142227362
65.0,-187500.02235174447,-187500.02235174447,-171141.9428756169,-167049.9866664394,-163899.21771278593,-166362.13408257178,-56348.79247531801,0.2582557142227362
186.0,-6757.804066873082,-6644.704239929229,-6638.222234037189,-6518.14866282328,-131732.21877005324,-83865.2427631906,-149830.76153168222,0.661634262775282
186.0,-6757.804066873082,-6644.704239929229,-6638.222234037189,-6518.14866282328,-131732.21877005324,-83865.2427631906,-149830.76153168222,0.661634262775282
186.0,-6757.804066873082,-6644.704239929229,-6638.222234037189,-6518.14866282328,-131732.21877005324,-83865.2427631906,-149830.76153168222,0.661634262775282
186.0,-6757.804066873082,-6644.704239929229,-6638.222234037189,-6518.14866282328,-131732.21877005324,-83865.2427631906,-149830.76153168222,0.661634262775282
50.0,-6670.520504775108,-6502.033055071003,-6535.068933375947,-6422.684362254663,-131727.7931246511,-83922.97731911867,-149752.44101911082,0.6625179098552357
50.0,-6670.520504775108,-6502.033055071003,-6535.068933375947,-6422.684362254663,-131727.7931246511,-83922.97731911867,-149752.44101911082,0.6625179098552357
50.0,-6670.520504775108,-6502.033055071003,-6535.068933375947,-6422.684362254663,-131727.7931246511,-83922.97731911867,-149752.44101911082,0.6625179098552357
50.0,-6670.520504775108,-6502.033055071003,-6535.068933375947,-6422.684362254663,-131727.7931246511,-83922.97731911867,-149752.44101911082,0.6625179098552357
170.0,-6639.764504404606,-6648.325222530988,-6613.0765215249685,-6424.98659193356,-131962.37468270955,-84113.7047545558,-149755.41380112336,0.661285040511477
170.0,-6639.764504404606,-6648.325222530988,-6613.0765215249685,-6424.98659193356,-131962.37468270955,-84113.7047545558,-149755.41380112336,0.661285040511477
